episode,episode_reward,actor_loss,critic_loss,exploration_noise
1,-12398.60755777359,,,0.199
2,-7831.448558204342,11.616225436737162,42.914981689974496,0.19800500000000001
3,-4090.439983105054,21.054555351777267,28.649318445707063,0.197014975
4,-4130.725612899754,33.45019601283385,35.17256264958495,0.19602990012500002
5,-4100.402395045385,44.414363760278356,33.61032822069107,0.19504975062437502
6,-4015.840508181136,55.258170588125935,33.412312495691886,0.19407450187125314
7,-3991.225196065032,65.09668978928525,30.808506287851984,0.19310412936189686
8,-4031.176362540573,74.16823323214004,29.574695540734556,0.19213860871508737
9,-4127.453389432281,83.04394074971884,30.39175846513687,0.19117791567151193
10,-4171.102626419626,91.39676016859285,31.74522975290269,0.19022202609315436
11,-4045.174621717073,99.44143181218557,32.22921323179369,0.18927091596268858
12,-3993.7107092668302,106.78530338377549,33.92951753772847,0.18832456138287512
13,-3969.4323149682023,113.75419467082442,36.6599856165752,0.18738293857596075
14,-4028.480210612528,120.76084947652379,36.53831775596311,0.18644602388308096
15,-4005.7374157346785,127.38578196858498,39.99216021085482,0.18551379376366556
16,-3996.0009090963285,133.86815166871307,40.93572335117218,0.18458622479484724
17,-4009.381063697394,139.71662675754087,42.104111869079844,0.183663293670873
18,-4055.547949615866,144.9532880292317,42.09561714575586,0.18274497720251864
19,-4051.4131969735026,150.0666831365381,42.415710905496866,0.18183125231650604
20,-4113.340913649648,155.2182258319457,43.764879587462616,0.18092209605492351
21,-4075.5971731934696,160.5639398863982,43.49608284972805,0.1800174855746489
22,-4098.579360362841,165.75447532430974,42.75230012185384,0.17911739814677563
23,-4173.328770563006,170.77377737414025,45.93817934771075,0.17822181115604174
24,-4059.3946762131527,175.13745163876425,47.39358379910486,0.17733070210026153
25,-4009.7458514398895,178.89418208051956,49.619169102590504,0.17644404858976023
26,-4018.14569025347,182.20268559356393,48.11598298413697,0.17556182834681144
27,-3990.3921302028466,185.4649334776219,48.285513338027975,0.1746840192050774
28,-4028.299331141636,188.22869760569014,48.16841621690732,0.173810599109052
29,-4021.9349499014206,191.61184418615943,48.792835434554185,0.17294154611350673
30,-4025.3588402867317,194.240313406614,51.456078615573254,0.1720768383829392
