Rank,Reward,Last reward,Last roll-50,Best roll-50,Improvement,Savings %,Train s
1,Solar,-2013.4636242397512,-2830.506407952643,-2830.506407952643,1000.6085600867141,60.601,383.68
2,SelfSufficiency,-2112.855957532301,-2995.7845147658327,-2995.7845147658327,1293.8801388632319,59.407,394.0
3,NightPrecharge,-2630.1832815626985,-3003.2765094203746,-3003.2765094203746,1224.6523906501138,57.607,406.32
4,Energy-only,-2344.860014444217,-3227.7523042906723,-3227.7523042906723,1146.7769632364907,63.598,398.94
5,Storage,-2344.860014444217,-3227.7523042906723,-3227.7523042906723,1146.7769632364907,63.598,383.62
6,Pricing,-2465.4865765496484,-3428.1604182978454,-3428.1604182978454,1218.077815069575,56.173,405.05
7,TimeOfUse,-3661.549794789811,-4040.7390954807543,-4040.7390954807543,1650.7797749101974,48.989,720.96
8,Ramping,-4121.58835327276,-5179.896866352407,-5179.896866352407,1143.6345092643814,58.24,382.49
9,Combined,-5435.215046002222,-5875.7512421148995,-5875.7512421148995,724.65202347986,24.312,414.4
10,Weather,-6933.24440300546,-9635.133584449173,-9635.133584449173,3462.6652441981405,59.398,444.85
11,Peak-shaving,-7519.69191718605,-11379.710599405358,-11379.710599405358,3858.3077717877295,52.391,386.76
12,Comfort,-11158.104426294418,-11613.087381051088,-11613.087381051088,1168.416645280784,-5.49,400.97
